	我	wǒ	I, me
129	可能	kěnéng	may
130	高	gāo	tall
131	红	hóng	red
132	白	bái	white
133	黑	hēi	black
134	忙	máng	busy
135	快	kuài	fast
136	慢	màn	slow
137	远	yuǎn	far
138	近	jìn	close
139	好吃	hǎochī	delicious
140	累	lèi	tired
141	长	cháng	long
142	新	xīn	new
143	贵	guì	expensive
144	便宜	piányi	cheap
145	晴	qíng	fine
146	阴	yīn	cloudy
147	错	cuò	wrong
148	快乐	kuàilè	happy
149	对	duì	to
150	对	duì	right
